학교명,1학년 전입학생수,1학년 전출학생수,2학년 전입학생수,2학년 전출학생수,3학년 전입학생수,3학년 전출학생수,4학년 전입학생수,4학년 전출학생수,5학년 전입학생수,5학년 전출학생수,6학년 전입학생수,6학년 전출학생수,전입학생수(계),전출학생수(계),전체학생수(계)
나성초등학교,159,0,145,0,189,0,161,0,180,0,89,0,923,0,230
인천한별초등학교,179,1,166,1,157,1,135,1,127,0,93,0,857,4,0
마산고운초등학교,37,5,195,3,187,1,183,2,139,1,115,1,856,13,894
판교대장초등학교,150,0,132,0,118,0,119,1,97,0,72,1,688,2,0
인천송담초등학교,10,9,151,10,189,4,138,3,139,3,85,1,712,30,835
위례숲초등학교,162,1,145,1,110,1,106,0,102,0,54,0,679,3,77
단샘초등학교,68,41,166,22,175,23,129,14,146,16,88,2,772,118,557
다산하늘초등학교,62,6,138,2,141,3,106,4,112,2,73,1,632,18,451
새봄초등학교,73,1,125,3,111,0,119,3,112,3,69,0,609,10,263
송림초등학교,124,2,112,5,112,2,97,5,75,4,67,2,587,20,332
서울일원초등학교,72,1,99,6,109,3,103,6,104,2,78,4,565,22,560
인천해든초등학교,97,0,114,0,84,1,93,1,69,0,40,0,497,2,0
하랑초등학교,22,0,88,0,137,2,88,0,98,1,63,0,496,3,541
호연초등학교,17,9,99,4,115,0,119,4,78,0,69,0,497,17,522
여울초등학교,72,3,82,1,84,0,84,0,90,0,62,0,474,4,353
해빛초등학교,7,3,104,4,108,1,91,2,81,1,56,1,447,12,577
초롱초등학교,105,0,90,0,79,0,76,0,59,0,23,0,432,0,0
신우초등학교,95,0,88,0,74,0,65,0,74,0,26,0,422,0,0
서울강빛초등학교,8,1,83,2,84,3,83,0,86,0,72,1,416,7,485
한여울초등학교,19,1,91,2,94,0,92,0,62,0,51,0,409,3,403
대구연경초등학교,4,3,91,0,94,3,77,2,80,0,58,0,404,8,519
서울고일초등학교,19,4,89,10,101,13,71,9,68,5,80,1,428,42,1593
대덕초등학교,18,5,105,1,93,1,88,3,47,1,39,2,390,13,477
다산별빛초등학교,88,0,69,0,64,0,53,0,54,0,15,0,343,0,0
이솔초등학교,23,5,77,5,77,2,53,3,73,2,47,1,350,18,345
은빛초등학교,3,10,92,13,97,13,96,24,60,11,62,8,410,79,1634
은여울초등학교,28,12,88,23,89,27,84,11,72,20,70,9,431,102,1622
인천현송초등학교,1,0,73,5,76,2,81,2,48,1,52,3,331,13,415
서울거원초등학교,49,5,57,6,64,13,64,8,58,5,40,6,332,43,799
청계초등학교,77,3,72,4,50,9,49,2,40,2,13,1,301,21,624
진해신항초등학교,38,6,53,3,52,6,64,9,56,5,32,4,295,33,854
서울서이초등학교,36,8,47,10,64,10,54,9,46,6,36,4,283,47,1153
대구팔공초등학교,11,0,37,0,52,0,53,0,42,0,40,0,235,0,280
인천서화초등학교,7,3,53,9,60,6,69,7,39,4,26,3,254,32,1231
새솔초등학교,31,8,44,4,61,3,41,2,41,4,26,3,244,24,869
문원초등학교,28,10,48,10,48,13,48,4,42,7,53,5,267,49,1657
대구세현초등학교,44,3,49,6,63,12,45,10,31,6,20,7,252,44,760
수원초등학교,28,3,41,2,42,3,42,3,42,6,37,7,232,24,709
하주초등학교,39,3,37,4,54,3,35,1,33,2,19,1,217,14,83
감일초등학교,17,6,81,50,97,50,77,49,95,44,52,21,419,220,826
서울한서초등학교,26,5,30,9,54,3,40,6,47,3,26,1,223,27,546
용아초등학교,27,1,58,2,50,2,38,3,30,2,3,0,206,10,943
수현초등학교,44,3,33,0,40,0,27,1,36,1,20,0,200,5,247
서산예천초등학교,9,4,30,4,52,3,44,2,42,4,34,2,211,19,769
서울잠원초등학교,47,8,61,12,64,10,53,13,19,11,8,9,252,63,1405
호원초등학교,13,4,50,4,52,7,39,4,35,3,27,5,216,27,857
무안행복초등학교,11,1,38,4,43,0,43,3,34,0,29,2,198,10,1221
대구경동초등학교,16,4,22,7,59,11,34,8,51,6,43,3,225,39,1916
종덕초등학교,66,14,39,15,54,7,37,10,33,8,15,8,244,62,1061
서울대현초등학교,11,0,25,4,29,10,37,4,40,6,61,3,203,27,685
평택모산초등학교,22,2,33,6,34,0,45,3,33,4,25,2,192,17,899
지산초등학교,16,10,48,17,49,10,50,11,31,7,32,4,226,59,1118
서울남명초등학교,1,0,41,0,44,0,32,2,26,3,23,1,167,6,398
서울장곡초등학교,8,5,52,3,43,3,33,5,28,6,22,3,186,25,714
충무공초등학교,9,3,36,9,36,7,59,9,41,13,23,2,204,43,1366
명원초등학교,8,12,46,19,59,16,63,12,40,12,24,9,240,80,1492
인천청호초등학교,5,3,39,3,33,3,42,0,34,2,18,1,171,12,232
인천서운초등학교,4,4,38,4,36,2,35,1,28,5,25,3,166,19,509
아산공수초등학교,29,5,33,2,42,6,30,2,20,2,11,1,165,18,546
대전용운초등학교,5,5,31,2,40,0,33,3,23,0,24,1,156,11,449
인천가현초등학교,36,12,52,8,47,12,32,10,28,11,9,7,204,60,1074
서울대방초등학교,11,7,42,14,40,10,32,8,44,7,21,2,190,48,1182
인천은송초등학교,12,9,40,3,33,3,38,3,32,6,14,4,169,28,770
대구동도초등학교,18,4,41,16,45,8,41,7,26,14,21,6,192,55,1316
안양동초등학교,41,2,45,5,30,7,23,4,25,4,0,6,164,28,428
한밭초등학교,8,4,26,8,38,11,45,9,28,10,34,6,179,48,1778
운동초등학교,1,2,28,2,32,2,30,0,31,2,20,3,142,11,509
삼계초등학교,32,3,35,5,29,0,26,4,24,5,2,0,148,17,685
서울서원초등학교,26,4,37,18,38,17,39,11,26,13,27,4,193,67,1346
대구범어초등학교,3,2,19,5,36,7,28,4,36,6,31,3,153,27,673
평택새빛초등학교,35,14,34,8,49,14,27,10,26,7,13,5,184,58,572
구미문성초등학교,13,7,30,5,34,4,29,12,21,0,30,3,157,31,1078
서울도곡초등학교,11,4,21,8,27,6,38,6,31,12,39,9,167,45,954
안룡초등학교,38,6,28,4,36,6,23,1,20,3,1,4,146,24,346
효덕초등학교,35,3,34,5,34,7,20,6,16,2,8,3,147,26,409
미사중앙초등학교,30,7,39,17,34,17,33,14,37,11,23,10,196,76,1368
서울대도초등학교,14,4,27,12,40,22,47,25,38,24,42,3,208,90,2129
서울은평초등학교,13,6,27,4,29,1,25,5,29,1,15,3,138,20,746
금모래초등학교,46,1,33,6,30,11,22,8,15,5,5,2,151,33,835
어정초등학교,28,7,37,2,22,10,27,7,34,9,18,14,166,49,748
시흥가온초등학교,7,1,25,2,29,5,24,3,23,0,20,0,128,11,1141
포항중앙초등학교,17,3,17,4,26,1,22,2,18,2,29,2,129,14,936
옥빛초등학교,5,2,76,96,110,57,98,62,98,65,71,62,458,344,1385
상학초등학교,17,1,22,1,22,0,24,2,16,0,17,1,118,5,92
서울도성초등학교,8,7,17,11,39,11,40,10,34,12,30,7,168,58,1888
대구대청초등학교,4,0,21,0,18,0,18,0,28,0,20,0,109,0,1318
귀인초등학교,19,7,22,14,37,13,34,13,38,10,30,14,180,71,1662
훈민초등학교,23,3,21,2,32,2,21,3,19,2,6,2,122,14,733
서울을지초등학교,8,4,24,6,33,14,35,3,20,10,31,7,151,44,1594
왕남초등학교,27,1,23,6,23,1,22,1,18,1,9,5,122,15,247
아인초등학교,31,12,30,17,42,18,38,9,33,19,22,17,196,92,1138
전주동신초등학교,14,4,32,9,25,4,24,2,23,7,14,2,132,28,365
신장초등학교,31,8,33,5,29,6,18,8,22,7,12,8,145,42,475
안양중앙초등학교,33,2,30,6,28,11,22,9,22,6,3,2,138,36,525
안양초등학교,9,5,35,9,30,12,22,3,27,3,15,4,138,36,895
부평초등학교,34,6,30,6,37,9,25,9,29,13,3,13,158,56,611
인천운서초등학교,19,0,23,6,16,5,25,1,21,3,11,0,115,15,229
보름초등학교,9,4,27,5,29,3,15,3,20,1,18,2,118,18,1218
유천초등학교,11,0,11,0,30,0,15,0,20,0,13,0,100,0,727
솔빛초등학교,25,6,24,3,26,2,23,2,13,0,3,2,114,15,184
대구노변초등학교,21,1,29,5,19,5,26,5,17,7,12,3,124,26,611
일광초등학교,5,4,22,7,34,7,28,4,16,5,23,5,128,32,881
대구구지초등학교,6,4,24,5,39,10,27,7,21,4,11,2,128,32,471
불로초등학교,11,1,28,3,33,4,22,5,12,3,7,2,113,18,892
화원초등학교,17,14,36,9,41,18,16,11,35,7,18,9,163,68,1123
낙생초등학교,16,5,35,15,32,19,34,10,28,13,16,10,161,72,1213
의왕초등학교,24,2,21,7,30,9,20,3,16,11,18,9,129,41,886
원흥초등학교,11,3,20,1,21,1,18,1,11,1,16,3,97,10,242
전주초포초등학교,17,0,17,3,22,0,18,1,15,1,3,0,92,5,105
빛누리초등학교,13,5,32,12,36,21,36,15,38,16,13,12,168,81,1249
서울대곡초등학교,9,3,26,10,42,19,22,9,28,18,26,8,153,67,1221
남춘천초등학교,22,4,20,6,24,5,27,6,16,4,5,3,114,28,408
이천송정초등학교,21,3,29,15,24,5,24,14,21,8,15,5,134,50,1128
오마초등학교,23,5,14,8,35,5,25,6,18,8,10,10,125,42,1307
경산초등학교,14,3,26,3,16,4,19,2,14,4,10,0,99,16,431
온천초등학교,18,5,9,4,26,4,21,2,15,7,20,5,109,27,798
대구복현초등학교,6,3,21,10,26,8,24,7,17,2,18,2,112,32,935
전주화정초등학교,5,3,19,3,32,9,31,15,29,14,14,6,130,50,1578
서울신목초등학교,10,2,19,9,21,10,25,4,22,7,17,3,114,35,1042
평촌초등학교,13,7,16,9,26,7,32,16,24,11,26,8,137,58,1266
매봉초등학교,16,5,23,5,28,10,21,4,15,9,12,3,115,36,723
지축초등학교,12,4,22,1,18,1,21,2,12,1,4,1,89,10,826
대교초등학교,9,2,19,2,24,0,16,0,14,3,3,0,85,7,253
범계초등학교,11,6,17,11,18,5,20,2,19,7,28,5,113,36,803
성남정자초등학교,10,2,24,11,31,12,19,9,19,7,20,5,123,46,948
해밀초등학교,9,5,20,4,18,3,13,0,25,0,4,1,89,13,894
고양오금초등학교,12,1,25,8,19,7,13,5,21,3,12,2,102,26,565
장산초등학교,28,3,15,4,28,6,19,4,14,9,16,19,120,45,575
성황초등학교,22,0,21,0,19,2,10,1,6,1,1,0,79,4,110
인천별빛초등학교,13,11,23,11,21,7,25,3,23,7,8,0,113,39,549
서울대치초등학교,6,7,24,11,23,15,24,9,32,11,30,13,139,66,1656
광주효덕초등학교,5,4,13,3,17,8,12,5,10,9,47,2,104,31,833
청솔초등학교,24,5,19,1,22,8,12,2,13,1,3,3,93,20,156
서울목동초등학교,18,6,16,16,28,9,22,14,23,11,30,9,137,65,1406
송우초등학교,6,6,18,3,18,10,23,4,19,4,19,4,103,31,512
솔뫼초등학교,21,1,25,5,24,3,11,9,10,2,4,3,95,23,432
광주송정초등학교,13,11,23,1,16,4,17,2,15,3,9,0,93,21,480
대구용천초등학교,30,0,28,13,32,6,8,12,15,9,0,3,113,43,1063
인천명선초등학교,12,2,17,10,24,8,24,7,16,7,22,11,115,45,1136
광명남초등학교,16,12,19,1,20,4,16,8,14,2,12,0,97,27,412
반곡초등학교,15,4,23,7,22,7,26,11,19,11,11,6,116,46,1095
동방초등학교,11,0,13,0,13,3,11,3,12,1,17,0,77,7,111
서울개일초등학교,13,8,24,10,21,5,25,14,19,8,16,5,118,50,1004
사하초등학교,4,4,24,7,22,13,22,4,19,6,17,6,108,40,1053
송정초등학교,18,4,14,8,18,7,19,5,20,6,14,5,103,35,713
인천상정초등학교,12,1,17,4,14,3,15,1,11,2,10,0,79,11,243
산들초등학교,12,5,10,8,31,3,17,6,16,9,12,0,98,31,843
치악초등학교,19,6,16,2,16,1,20,8,13,2,5,3,89,22,229
옥동초등학교,12,4,15,3,25,7,13,6,20,8,15,5,100,33,1355
서울원광초등학교,6,2,17,4,21,11,16,6,19,5,19,4,98,32,759
조봉초등학교,12,3,15,10,23,8,19,9,18,8,23,6,110,44,928
용죽초등학교,17,19,20,10,30,11,34,15,21,10,18,9,140,74,1692
서울상곡초등학교,0,0,16,5,22,7,19,6,17,3,16,4,90,25,533
매곡초등학교,16,5,22,3,16,8,25,10,16,5,6,5,101,36,899
수내초등학교,19,4,22,10,20,12,20,6,19,6,8,5,108,43,1269
퇴계초등학교,21,4,13,4,19,2,17,2,8,2,1,0,79,14,797
전주양현초등학교,9,6,12,4,14,5,17,1,16,2,15,0,83,18,1158
서울갈산초등학교,11,5,12,5,19,7,20,6,21,6,14,4,97,33,1034
인천중산초등학교,17,16,27,29,39,24,33,15,33,24,33,10,182,118,1637
서울구룡초등학교,2,6,11,5,24,4,22,5,18,4,13,3,90,27,733
서울송례초등학교,7,13,32,18,33,18,31,14,18,13,24,6,145,82,1298
진월초등학교,3,5,8,2,16,8,9,5,13,0,37,3,86,23,725
서현초등학교,10,5,21,9,20,13,27,6,18,5,10,5,106,43,1103
대구남산초등학교,27,3,21,6,21,15,21,11,15,6,4,6,109,47,919
수완초등학교,3,4,22,14,30,20,20,7,22,11,35,14,132,70,1681
태봉초등학교,19,4,21,5,15,13,20,5,9,3,17,9,101,39,748
해운대초등학교,21,6,18,6,20,4,18,7,18,7,8,12,103,42,744
관산초등학교,22,6,18,10,23,7,19,7,9,7,13,6,104,43,988
서울양명초등학교,9,0,14,7,22,9,14,3,18,10,15,3,92,32,579
서울영도초등학교,13,9,12,5,22,12,18,4,23,9,15,4,103,43,1220
여고초등학교,4,9,18,6,18,10,15,5,20,4,21,2,96,36,952
대구봉덕초등학교,14,2,13,2,13,3,26,1,9,7,7,7,82,22,636
수곡초등학교,6,0,13,3,17,8,15,2,11,4,16,1,78,18,465
과천초등학교,16,14,21,8,20,13,23,6,26,6,3,3,109,50,724
관기초등학교,16,0,10,2,20,0,9,0,6,1,1,0,62,3,82
서울공항초등학교,18,12,27,31,40,17,21,16,30,12,16,6,152,94,1538
인천용현남초등학교,10,4,12,5,25,7,17,9,18,8,10,1,92,34,1117
신탄진용정초등학교,14,2,16,2,16,2,9,0,9,1,1,0,65,7,298
광명광덕초등학교,11,6,22,2,22,8,14,11,18,11,16,7,103,45,681
교동초등학교,25,2,15,9,22,16,20,9,19,9,11,9,112,54,680
예원초등학교,5,2,18,6,24,4,15,6,11,1,6,3,79,22,993
솔터초등학교,20,7,19,17,40,23,35,22,20,12,19,15,153,96,1149
산내초등학교,26,7,25,20,39,30,31,22,29,8,10,16,160,103,1885
서원초등학교,16,9,19,10,23,9,24,8,10,4,9,5,101,45,834
김해율산초등학교,5,8,15,8,23,3,23,8,18,3,7,5,91,35,954
서울명원초등학교,10,3,11,8,14,2,17,7,20,5,10,2,82,27,806
서울불암초등학교,8,4,18,7,17,6,25,4,13,9,10,6,91,36,930
센텀초등학교,6,3,16,13,29,21,23,14,30,15,25,8,129,74,1624
포항제철지곡초등학교,9,2,22,10,15,9,18,9,19,4,12,6,95,40,1344
정발초등학교,11,5,10,6,18,9,25,5,18,13,17,8,99,46,1100
서울신서초등학교,4,3,23,5,11,7,15,8,15,3,12,2,80,28,1198
계남초등학교,25,7,29,7,14,11,16,11,13,10,5,4,102,50,997
진말초등학교,5,0,12,2,22,4,7,0,3,3,12,0,61,9,590
향동초등학교,0,2,19,2,11,4,11,0,10,1,10,1,61,10,596
서울서정초등학교,10,9,12,7,13,5,14,6,19,6,16,1,84,34,810
화명초등학교,9,2,16,3,13,3,14,3,7,2,6,2,65,15,354
인천새봄초등학교,4,3,13,2,15,3,15,4,13,3,12,7,72,22,403
세아초등학교,12,9,9,10,27,7,15,7,13,5,15,3,91,41,541
중문초등학교,19,7,26,14,27,12,15,8,14,11,8,7,109,59,731
대구욱수초등학교,3,1,19,2,8,2,15,5,14,5,11,7,70,22,665
진제초등학교,2,2,4,7,14,5,10,7,18,4,29,4,77,29,641
소사벌초등학교,25,8,22,11,13,11,20,13,17,7,7,6,104,56,807
하길초등학교,5,6,11,9,27,11,14,7,24,3,9,6,90,42,1214
김포나진초등학교,2,4,14,6,16,5,18,4,14,4,11,4,75,27,996
서울경인초등학교,8,3,12,9,22,7,15,12,24,17,23,9,104,57,1179
금사초등학교,8,4,15,1,11,2,13,5,15,3,1,1,63,16,270
인천효성남초등학교,17,3,23,8,10,4,17,7,8,3,1,4,76,29,571
어룡초등학교,9,3,8,2,15,7,7,3,12,1,15,3,66,19,826
서울송정초등학교,11,7,28,10,19,9,13,12,14,8,13,6,98,52,650
연미초등학교,15,1,15,1,12,2,6,0,3,1,3,3,54,8,138
고양신일초등학교,8,5,16,10,19,13,26,12,19,6,9,5,97,51,908
가내초등학교,12,10,36,16,29,29,26,11,16,16,17,8,136,90,1499
서경초등학교,5,1,17,4,15,11,9,3,19,2,6,4,71,25,732
포항제철초등학교,7,3,7,4,17,2,17,4,12,4,8,5,68,22,868
대구성동초등학교,6,2,23,12,22,16,23,12,16,4,11,10,101,56,1633
문시초등학교,10,7,16,10,16,7,20,9,20,8,11,7,93,48,890
연화초등학교,9,8,11,11,16,8,28,3,10,8,16,7,90,45,880
익산궁동초등학교,5,2,15,4,13,2,10,1,10,2,4,1,57,12,605
성암초등학교,13,3,26,20,28,13,15,17,22,4,6,8,110,65,1158
서울동원초등학교,15,8,12,9,10,1,13,0,13,4,6,3,69,25,408
서울목운초등학교,9,7,15,19,23,9,22,14,30,15,20,11,119,75,1691
대구복명초등학교,2,1,12,0,15,3,8,3,11,0,3,0,51,7,232
대평초등학교,9,2,9,4,12,3,18,8,15,6,12,8,75,31,647
안흥초등학교,11,2,14,11,14,10,15,5,16,4,10,4,80,36,815
마송중앙초등학교,8,2,12,0,10,5,12,4,11,4,7,1,60,16,375
순천조례초등학교,6,0,13,4,14,5,13,5,12,3,6,3,64,20,535
동성초등학교,5,4,22,10,24,7,12,3,8,4,2,1,73,29,726
해원초등학교,12,0,9,1,5,0,7,0,11,0,0,0,44,1,1041
인천경연초등학교,5,4,8,7,23,9,22,6,10,2,7,4,75,32,604
광주동산초등학교,1,0,1,6,7,2,6,0,8,0,29,1,52,9,362
천진초등학교,6,3,10,1,16,0,5,1,8,0,4,1,49,6,91
생명초등학교,5,7,18,8,17,5,14,5,13,1,2,0,69,26,678
동패초등학교,8,10,8,4,22,15,17,4,8,4,17,1,80,38,1330
광주계림초등학교,12,2,25,6,24,3,14,3,9,12,6,23,90,49,618
공도초등학교,5,15,21,10,23,11,20,12,20,13,20,7,109,68,1517
창릉초등학교,24,12,21,17,17,9,15,6,15,8,7,6,99,58,451
표선초등학교,9,2,9,1,12,3,6,1,9,4,8,1,53,12,246
동대구초등학교,16,5,19,8,15,8,15,7,11,6,1,3,77,37,529
새별초등학교,11,3,15,13,26,16,15,14,17,11,23,10,107,67,1067
민백초등학교,4,4,7,9,18,7,9,5,25,6,13,5,76,36,706
천안와촌초등학교,5,0,6,1,4,0,11,1,10,0,7,1,43,3,187
천안호수초등학교,17,9,16,4,12,6,7,3,8,5,9,2,69,29,387
서현초등학교,9,1,23,9,11,5,11,3,12,6,2,5,68,29,1127
부용초등학교,7,1,13,6,20,4,6,4,4,2,12,6,62,23,343
정현초등학교,21,14,33,29,45,32,40,24,39,36,22,26,200,161,1357
다산한강초등학교,33,16,32,25,40,26,24,19,29,21,8,20,166,127,1790
향동숲내초등학교,1,4,7,3,12,0,12,0,12,0,2,0,46,7,772
목포영산초등학교,8,3,14,3,16,6,8,7,11,0,6,5,63,24,744
동해초등학교,6,4,4,4,7,5,8,2,8,0,22,1,55,16,379
부곡초등학교,5,1,11,4,12,3,9,3,8,3,10,3,55,17,480
구포초등학교,16,0,4,1,6,0,2,3,15,0,0,1,43,5,429
호암초등학교,3,3,12,0,13,5,6,2,8,1,7,0,49,11,443
충주남산초등학교,11,4,13,4,15,7,10,8,9,6,12,3,70,32,896
천안남산초등학교,5,0,13,4,8,2,5,3,11,1,9,3,51,13,383
전주한들초등학교,3,2,14,7,10,5,14,9,14,3,11,2,66,28,876
영평초등학교,1,2,16,7,14,6,14,5,9,2,8,2,62,24,562
내산초등학교,10,1,10,1,4,1,7,3,8,3,8,1,47,10,296
인천석정초등학교,16,5,15,11,24,13,13,8,12,7,4,3,84,47,850
고헌초등학교,12,13,16,10,18,8,19,10,19,9,10,7,94,57,1206
청암초등학교,16,8,18,11,27,17,14,14,14,10,12,4,101,64,1022
반석초등학교,13,2,24,12,19,13,22,16,21,22,14,11,113,76,1134
교동초등학교,8,1,8,2,16,2,3,0,4,1,5,1,44,7,875
용호초등학교,8,6,16,10,21,8,15,11,13,8,12,5,85,48,1552
옥동초등학교,2,2,8,5,15,9,14,7,23,8,14,9,76,40,1013
안산해솔초등학교,6,7,11,6,10,7,14,5,15,4,11,2,67,31,1890
담양동초등학교,4,3,8,1,8,2,13,3,8,1,7,2,48,12,247
모화초등학교,8,3,14,4,10,3,10,8,8,2,6,0,56,20,305
물금초등학교,6,2,6,3,14,3,11,4,10,4,8,3,55,19,411
예하초등학교,8,2,14,8,8,2,13,2,10,3,3,3,56,20,400
서울수암초등학교,3,0,10,5,15,6,14,6,12,7,9,4,63,28,581
안양남초등학교,4,1,2,3,12,3,12,4,12,7,14,3,56,21,639
치동초등학교,8,12,24,13,16,14,12,12,17,6,21,6,98,63,749
전주자연초등학교,4,5,18,11,10,4,17,10,18,6,8,4,75,40,1354
명륜초등학교,8,1,12,6,11,4,9,5,10,2,11,9,61,27,1309
인천청라초등학교,17,12,20,12,25,17,23,22,25,19,19,13,129,95,1435
인천신정초등학교,12,7,27,22,21,22,31,19,22,19,17,7,130,96,1569
부천송일초등학교,13,4,15,4,9,8,8,3,9,1,4,4,58,24,576
평택서재초등학교,27,17,24,28,33,17,32,20,27,25,16,18,159,125,1434
횡성초등학교,4,2,7,4,13,2,8,2,10,1,6,3,48,14,462
화순오성초등학교,10,3,5,1,13,2,11,1,1,0,3,2,43,9,205
남문초등학교,3,2,11,7,9,3,9,7,11,8,17,0,60,27,1198
성남매송초등학교,13,8,12,3,16,8,10,9,13,5,10,8,74,41,799
수지초등학교,0,1,5,0,20,0,5,4,9,0,4,5,43,10,1642
향산초등학교,7,2,12,3,9,3,11,1,5,3,2,1,46,13,903
춘천초등학교,7,2,7,3,10,7,12,4,11,0,2,0,49,16,355
영천초등학교,8,0,9,5,5,2,11,3,9,2,4,1,46,13,336
서울방일초등학교,15,6,17,10,16,11,11,8,12,8,10,6,81,49,906
전주효천초등학교,4,7,8,9,19,5,17,7,11,2,8,5,67,35,1210
광영초등학교,7,2,4,0,13,2,5,1,3,2,7,0,39,7,262
장전초등학교,12,1,16,13,17,5,9,4,9,6,3,5,66,34,295
삼양초등학교,8,8,9,6,21,7,15,6,8,6,7,3,68,36,1001
동일중앙초등학교,9,2,14,9,16,6,16,11,9,7,8,6,72,41,878
구평초등학교,11,4,10,6,14,8,17,10,7,3,9,6,68,37,564
대구신매초등학교,8,2,5,7,17,9,11,3,9,2,6,2,56,25,606
대구신월초등학교,2,5,6,10,13,13,25,4,13,7,14,3,73,42,1331
백마초등학교,4,4,6,3,17,9,14,3,10,4,7,4,58,27,634
상일초등학교,4,4,16,14,20,12,15,8,15,9,14,6,84,53,1208
내정초등학교,21,5,24,8,22,13,9,11,7,9,4,10,87,56,1228
잠원초등학교,14,9,16,16,19,13,27,14,21,15,17,16,114,83,1136
신진초등학교,10,3,10,5,11,6,13,6,9,5,3,0,56,25,658
서울계남초등학교,8,6,7,9,19,8,11,10,17,6,11,4,73,43,777
성복초등학교,14,7,11,15,15,8,17,8,13,4,5,3,75,45,866
평택이화초등학교,6,7,21,11,11,15,20,11,17,12,18,7,93,63,1243
평택대동초등학교,18,9,14,5,20,11,13,11,9,6,4,6,78,48,481
인제남초등학교,6,0,5,0,11,0,3,0,6,0,2,3,33,3,206
소양초등학교,10,13,26,11,25,12,15,17,19,12,9,9,104,74,1003
샘마루초등학교,16,10,20,6,16,16,14,6,11,10,7,6,84,54,908
수정초등학교,2,3,4,1,12,2,12,4,6,2,6,1,42,13,409
인천해원초등학교,14,18,20,23,31,23,27,22,29,21,27,12,148,119,2008
대전문정초등학교,4,3,11,5,6,7,14,3,10,4,10,4,55,26,544
솔개초등학교,9,6,14,5,17,8,14,6,7,7,7,7,68,39,866
서울고명초등학교,8,2,11,8,15,12,14,9,9,6,10,2,67,39,712
반안초등학교,3,1,7,2,9,0,2,1,11,0,0,0,32,4,630
부흥초등학교,3,7,5,9,18,6,16,10,10,1,12,3,64,36,921
신정초등학교,9,8,11,1,11,6,11,3,8,4,4,4,54,26,821
일신초등학교,1,2,4,2,9,2,9,2,5,5,13,0,41,13,511
원중초등학교,7,7,20,12,13,7,15,6,14,10,7,6,76,48,1161
동백초등학교,19,5,19,21,16,12,23,11,11,9,6,8,94,66,1391
화도초등학교,5,7,15,7,19,11,14,10,21,11,5,5,79,51,1011
흥업초등학교,4,2,4,3,8,2,7,3,9,2,8,0,40,12,224
이리모현초등학교,7,6,11,5,20,1,13,9,9,11,5,5,65,37,876
용황초등학교,10,7,9,2,10,2,12,4,5,3,2,2,48,20,736
대곡초등학교,1,0,7,0,5,0,4,0,6,0,5,0,28,0,93
회야초등학교,21,0,0,0,0,1,0,4,0,1,13,0,34,6,442
서울언주초등학교,11,10,17,12,18,20,19,14,26,18,18,8,109,82,1612
서울포이초등학교,0,3,8,6,14,8,16,6,12,5,5,0,55,28,499
서울태릉초등학교,9,4,16,4,6,2,6,3,9,7,4,3,50,23,777
우촌초등학교,6,6,11,0,10,0,0,0,4,0,2,0,33,6,521
인천하늘초등학교,11,13,13,11,17,16,24,10,15,6,11,8,91,64,810
광주초등학교,53,13,46,61,60,69,50,47,44,22,7,21,260,233,913
도수초등학교,12,3,15,5,8,8,16,4,10,17,8,5,69,42,670
당촌초등학교,9,7,16,8,15,10,12,6,9,4,4,3,65,38,877
초림초등학교,6,3,19,10,12,11,16,9,7,6,10,4,70,43,1112
하탑초등학교,9,5,6,4,12,5,12,7,12,5,3,1,54,27,716
송린초등학교,12,7,17,17,16,9,13,10,20,5,5,8,83,56,1335
천안성성초등학교,4,7,17,13,22,14,18,16,18,6,8,4,87,60,1541
제산초등학교,6,3,14,5,10,8,11,11,14,4,6,3,61,34,1086
신제주초등학교,10,2,13,6,10,9,10,6,8,2,5,4,56,29,1110
서울양전초등학교,7,5,5,6,10,4,12,5,7,8,13,0,54,28,563
서울대명초등학교,2,5,9,11,17,11,10,5,12,5,15,2,65,39,790
서울정목초등학교,4,5,8,6,19,8,13,9,13,8,14,9,71,45,1051
인천석천초등학교,4,4,17,13,13,13,25,7,11,6,9,10,79,53,1066
문화초등학교,6,4,7,4,14,7,10,10,18,5,8,7,63,37,826
탄천초등학교,7,4,10,6,11,5,9,5,11,2,3,3,51,25,497
포곡초등학교,10,5,7,3,11,5,11,7,13,3,5,8,57,31,762
늘푸른초등학교,0,0,0,0,0,0,0,0,0,0,26,0,26,0,1253
김포구래초등학교,3,9,12,9,19,0,8,7,7,1,6,3,55,29,653
북평초등학교,7,8,11,7,11,3,9,1,3,1,6,1,47,21,607
남원주초등학교,11,5,20,14,16,11,14,11,17,13,8,6,86,60,896
주성초등학교,1,0,7,0,5,0,4,0,5,1,5,0,27,1,230
충주남한강초등학교,10,10,11,8,14,4,11,5,11,7,6,3,63,37,998
천안초등학교,5,1,3,1,3,0,3,0,12,0,4,2,30,4,147
목포백련초등학교,10,8,13,8,14,10,12,5,8,5,7,2,64,38,933
농소초등학교,7,3,10,3,15,6,5,3,3,3,4,0,44,18,572
서울신중초등학교,6,8,11,10,16,12,10,14,20,7,21,8,84,59,931
서울신남초등학교,2,2,5,7,18,5,13,7,8,3,6,3,52,27,743
서울신길초등학교,9,3,13,8,11,16,23,14,18,15,17,10,91,66,1135
대구강북초등학교,4,6,8,3,9,6,15,6,10,4,6,2,52,27,876
대구도남초등학교,12,4,18,9,13,12,10,8,8,8,8,3,69,44,433
