학교명,1학년 전입학생수,1학년 전출학생수,2학년 전입학생수,2학년 전출학생수,3학년 전입학생수,3학년 전출학생수,4학년 전입학생수,4학년 전출학생수,5학년 전입학생수,5학년 전출학생수,6학년 전입학생수,6학년 전출학생수,전입학생수(계),전출학생수(계),전체학생수(계)
금대초등학교,1,0,1,3,0,1,1,0,0,1,0,1,3,6,51
흥양초등학교,0,0,1,1,1,1,1,1,0,1,0,2,3,6,67
하남초등학교,0,0,1,0,0,3,0,0,0,1,0,0,1,4,27
사북초등학교,1,1,1,1,0,4,2,1,1,2,1,0,6,9,223
예미초등학교,0,1,0,0,2,1,0,2,0,0,0,1,2,5,56
문혜초등학교,0,1,0,0,0,0,0,2,2,2,0,0,2,5,49
추곡초등학교,0,0,0,0,1,1,0,0,0,2,0,1,1,4,10
통리초등학교,0,0,1,0,0,1,0,4,0,0,1,0,2,5,66
도성초등학교,0,1,0,1,0,1,0,0,0,0,0,0,0,3,38
장평초등학교,0,0,0,0,2,0,0,3,0,1,0,1,2,5,43
주진초등학교,0,0,0,0,0,2,1,0,0,2,2,2,3,6,18
상승초등학교,1,2,0,2,1,1,0,1,1,0,0,0,3,6,39
청일초등학교,0,0,0,0,0,2,0,1,0,0,0,0,0,3,16
한국교원대학교부설월곡초등학교,1,5,7,6,8,5,4,4,7,11,2,1,29,32,504
청안초등학교,0,2,0,0,0,0,1,1,0,1,0,0,1,4,38
이원초등학교,0,1,1,1,0,0,0,0,0,1,0,1,1,4,74
감곡초등학교,3,2,2,1,1,1,2,1,1,5,0,2,9,12,238
무극초등학교,0,0,0,0,0,0,0,0,0,0,1,4,1,4,356
쌍봉초등학교,1,0,0,1,1,1,0,1,0,2,0,0,2,5,55
왕미초등학교,1,2,2,3,4,1,0,3,3,2,1,3,11,14,270
금구초등학교,0,1,0,0,0,0,0,0,0,2,0,0,0,3,52
미원초등학교,0,0,0,0,1,1,0,2,0,1,0,0,1,4,63
북이초등학교,1,0,0,2,1,0,0,3,0,0,0,0,2,5,54
상봉초등학교,0,0,0,0,0,1,0,0,0,2,0,0,0,3,31
복대초등학교,1,1,2,3,0,2,2,2,1,0,0,1,6,9,173
사직초등학교,1,3,3,2,3,4,4,4,1,4,4,2,16,19,274
노은초등학교,1,1,0,1,0,1,0,1,0,0,0,0,1,4,51
목행초등학교,2,1,1,3,5,8,2,3,5,2,1,2,16,19,413
상서초등학교,0,1,0,0,1,0,0,2,1,2,0,0,2,5,85
신풍초등학교,0,0,0,2,0,0,0,1,0,1,1,0,1,4,35
이인초등학교,0,1,1,1,0,0,0,1,0,0,0,1,1,4,47
탄천초등학교,1,1,0,1,0,1,0,0,1,2,0,0,2,5,55
제원초등학교,0,0,0,0,0,2,1,0,0,1,1,2,2,5,41
강경황산초등학교,1,0,1,1,1,3,1,1,1,1,0,2,5,8,204
임천초등학교,0,1,2,1,0,1,0,0,0,1,0,1,2,5,64
신례원초등학교,2,1,2,4,2,3,1,4,1,0,1,0,9,12,186
웅산초등학교,2,1,1,0,0,3,1,2,0,0,0,1,4,7,53
신계초등학교,0,1,2,1,3,3,1,3,3,5,3,2,12,15,303
신방초등학교,0,0,0,1,0,1,0,1,0,0,0,0,0,3,52
신사초등학교,0,1,0,0,0,1,0,0,0,1,0,0,0,3,38
가남초등학교,0,0,0,0,0,4,0,0,1,0,0,0,1,4,57
한정초등학교,0,2,0,0,1,2,0,0,0,0,0,0,1,4,70
부석초등학교,0,1,0,1,2,0,0,2,1,0,0,2,3,6,59
마동초등학교,1,0,0,0,0,2,0,0,0,1,0,1,1,4,92
낙동초등학교,1,1,0,1,1,1,0,1,1,2,0,0,3,6,26
오천초등학교삽시분교장,0,1,0,0,0,1,0,0,0,1,0,0,0,3,6
오천초등학교,0,1,0,1,1,0,0,1,0,1,0,0,1,4,25
청보초등학교,0,1,0,0,0,1,0,1,0,0,0,0,0,3,70
금당초등학교,2,2,2,1,1,4,1,2,0,0,0,0,6,9,54
홍주초등학교,2,3,2,2,1,2,2,2,0,3,3,1,10,13,124
천안오성초등학교,3,0,0,5,0,7,3,3,3,0,3,0,12,15,1095
천안수곡초등학교,6,6,7,3,3,2,4,8,5,6,3,6,28,31,730
천안삼거리초등학교,1,4,7,2,5,9,4,3,2,4,5,5,24,27,612
천안불무초등학교,16,15,11,11,22,32,15,13,9,12,14,7,87,90,1934
선동초등학교,0,0,0,0,0,1,0,0,0,2,0,0,0,3,21
문창초등학교,0,0,0,1,0,2,1,1,0,0,0,0,1,4,88
술산초등학교,0,3,1,0,0,0,0,1,0,0,0,0,1,4,24
옥봉초등학교,0,2,1,2,1,1,0,1,2,1,0,0,4,7,83
창오초등학교,0,0,0,2,0,0,1,1,0,0,0,1,1,4,36
부용초등학교,0,2,0,1,0,0,0,0,0,0,0,0,0,3,23
산동초등학교,0,1,0,1,1,0,0,1,0,1,0,0,1,4,40
적상초등학교,0,0,0,1,0,0,0,0,0,2,0,0,0,3,25
부안남초등학교,0,0,0,1,0,1,0,0,0,0,0,1,0,3,61
순창초등학교,3,2,0,1,1,3,2,2,2,1,0,2,8,11,303
봉서초등학교,12,4,9,4,7,12,8,16,6,10,5,4,47,50,1012
오산남초등학교,0,2,0,0,0,0,0,1,0,0,0,0,0,3,87
이리석암초등학교,0,0,0,1,0,1,0,0,0,0,0,1,0,3,38
이리중앙초등학교,0,3,2,2,1,2,1,1,1,0,0,0,5,8,129
함라초등학교,0,1,0,1,0,0,0,1,0,0,0,0,0,3,37
